filepath,label,video_id,subset
/content/extracted_images/train/Menulis/BISINDO_Menulis_010_frame1.jpg,Menulis,BISINDO_Menulis_010,train
/content/extracted_images/train/Menulis/BISINDO_Menulis_010_frame2.jpg,Menulis,BISINDO_Menulis_010,train
/content/extracted_images/train/Menulis/BISINDO_Menulis_010_frame3.jpg,Menulis,BISINDO_Menulis_010,train
/content/extracted_images/train/Menulis/BISINDO_Menulis_021_frame1.jpg,Menulis,BISINDO_Menulis_021,train
/content/extracted_images/train/Menulis/BISINDO_Menulis_021_frame2.jpg,Menulis,BISINDO_Menulis_021,train
/content/extracted_images/train/Menulis/BISINDO_Menulis_021_frame3.jpg,Menulis,BISINDO_Menulis_021,train
/content/extracted_images/train/Menulis/BISINDO_Menulis_016_frame1.jpg,Menulis,BISINDO_Menulis_016,train
/content/extracted_images/train/Menulis/BISINDO_Menulis_016_frame2.jpg,Menulis,BISINDO_Menulis_016,train
/content/extracted_images/train/Menulis/BISINDO_Menulis_016_frame3.jpg,Menulis,BISINDO_Menulis_016,train
/content/extracted_images/train/Menulis/BISINDO_Menulis_012_frame1.jpg,Menulis,BISINDO_Menulis_012,train
/content/extracted_images/train/Menulis/BISINDO_Menulis_012_frame2.jpg,Menulis,BISINDO_Menulis_012,train
/content/extracted_images/train/Menulis/BISINDO_Menulis_012_frame3.jpg,Menulis,BISINDO_Menulis_012,train
/content/extracted_images/train/Menulis/BISINDO_Menulis_037_frame1.jpg,Menulis,BISINDO_Menulis_037,train
/content/extracted_images/train/Menulis/BISINDO_Menulis_037_frame2.jpg,Menulis,BISINDO_Menulis_037,train
/content/extracted_images/train/Menulis/BISINDO_Menulis_037_frame3.jpg,Menulis,BISINDO_Menulis_037,train
/content/extracted_images/train/Menulis/BISINDO_Menulis_035_frame1.jpg,Menulis,BISINDO_Menulis_035,train
/content/extracted_images/train/Menulis/BISINDO_Menulis_035_frame2.jpg,Menulis,BISINDO_Menulis_035,train
